FPGA idle power [mW]:,3744.4

Program energy [mJ]:,7.03

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,13.4
20000,0.001,19.2
40000,0.002,19.2
60000,0.003,26.4
80000,0.004,4.8
100000,0.005,20.6
120000,0.006,22.0
140000,0.007,9.1
160000,0.008,17.4
180000,0.009,14.8
200000,0.010,20.6
220000,0.011,9.1
240000,0.012,14.8
260000,0.013,9.1
280000,0.014,6.2
300000,0.015,-6.7
320000,0.016,12.0
340000,0.017,1.9
360000,0.018,-3.9
380000,0.019,7.7
400000,0.020,3.3
420000,0.021,1.9
440000,0.022,-5.3
460000,0.023,9.1
480000,0.024,10.5
500000,0.025,4.8
520000,0.026,5.0
540000,0.027,0.5
560000,0.028,6.2
580000,0.029,-5.3
600000,0.030,9.1
620000,0.031,13.4
640000,0.032,7.7
660000,0.033,12.0
680000,0.034,1.9
700000,0.035,8.1
720000,0.036,1.9
740000,0.037,13.4
760000,0.038,0.5
780000,0.039,0.5
800000,0.040,3.3
820000,0.041,10.5
840000,0.042,4.8
860000,0.043,6.2
880000,0.044,6.5
900000,0.045,6.2
920000,0.046,4.8
940000,0.047,9.1
960000,0.048,6.2
980000,0.049,6.2
1000000,0.050,6.2
1020000,0.051,3.3
1040000,0.052,4.8
1060000,0.053,8.1
1080000,0.054,12.0
1100000,0.055,9.1
1120000,0.056,9.1
1140000,0.057,3.3
1160000,0.058,9.1
1180000,0.059,9.1
1200000,0.060,1.9
1220000,0.061,-1.0
1240000,0.062,11.2
1260000,0.063,6.2
1280000,0.064,1.9
1300000,0.065,7.7
1320000,0.066,7.7
1340000,0.067,4.8
1360000,0.068,1.9
1380000,0.069,3.3
1400000,0.070,3.3
1420000,0.071,8.1
1440000,0.072,4.8
1460000,0.073,12.0
1480000,0.074,4.8
1500000,0.075,4.8
1520000,0.076,7.7
1540000,0.077,13.4
1560000,0.078,0.5
1580000,0.079,3.3
1600000,0.080,6.5
1620000,0.081,13.4
1640000,0.082,4.8
1660000,0.083,12.0
1680000,0.084,9.1
1700000,0.085,-2.4
1720000,0.086,4.8
1740000,0.087,10.5
1760000,0.088,12.0
1780000,0.089,-8.9
1800000,0.090,7.7
1820000,0.091,9.1
1840000,0.092,10.5
1860000,0.093,7.7
1880000,0.094,7.7
1900000,0.095,1.9
1920000,0.096,3.3
1940000,0.097,10.5
1960000,0.098,9.6
1980000,0.099,-6.7
2000000,0.100,6.2
2020000,0.101,7.7
2040000,0.102,0.5
2060000,0.103,0.5
2080000,0.104,14.8
2100000,0.105,6.2
2120000,0.106,0.5
2140000,0.107,8.1
2160000,0.108,12.0
2180000,0.109,13.4
2200000,0.110,-1.0
2220000,0.111,12.0
2240000,0.112,3.3
2260000,0.113,1.9
2280000,0.114,4.8
2300000,0.115,4.8
2320000,0.116,6.5
2340000,0.117,4.8
2360000,0.118,7.7
2380000,0.119,7.7
2400000,0.120,6.2
2420000,0.121,0.5
2440000,0.122,3.3
2460000,0.123,6.2
2480000,0.124,-2.4
2500000,0.125,9.6
2520000,0.126,3.3
2540000,0.127,-2.4
2560000,0.128,1.9
2580000,0.129,6.2
2600000,0.130,6.2
2620000,0.131,1.9
2640000,0.132,6.2
2660000,0.133,9.1
2680000,0.134,3.5
2700000,0.135,9.1
2720000,0.136,4.8
2740000,0.137,9.1
2760000,0.138,0.5
2780000,0.139,7.7
2800000,0.140,6.2
2820000,0.141,4.8
2840000,0.142,-3.9
2860000,0.143,5.0
2880000,0.144,4.8
2900000,0.145,4.8
2920000,0.146,3.3
2940000,0.147,4.8
