FPGA idle power [mW]:,4048.4

Program energy [mJ]:,13.23

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,8.7
20000,0.001,21.6
40000,0.002,20.2
60000,0.003,8.7
80000,0.004,27.4
100000,0.005,10.9
120000,0.006,31.7
140000,0.007,67.6
160000,0.008,102.2
180000,0.009,125.2
200000,0.010,122.3
220000,0.011,122.3
240000,0.012,120.9
260000,0.013,128.1
280000,0.014,122.4
300000,0.015,112.2
320000,0.016,110.8
340000,0.017,115.1
360000,0.018,86.3
380000,0.019,77.7
400000,0.020,84.9
420000,0.021,86.3
440000,0.022,96.4
460000,0.023,108.5
480000,0.024,116.6
500000,0.025,126.6
520000,0.026,116.6
540000,0.027,109.4
560000,0.028,122.3
580000,0.029,95.0
600000,0.030,132.4
620000,0.031,126.6
640000,0.032,142.6
660000,0.033,141.0
680000,0.034,120.9
700000,0.035,155.4
720000,0.036,135.3
740000,0.037,130.9
760000,0.038,136.7
780000,0.039,95.0
800000,0.040,93.5
820000,0.041,96.1
840000,0.042,80.6
860000,0.043,110.8
880000,0.044,118.0
900000,0.045,110.8
920000,0.046,93.5
940000,0.047,95.0
960000,0.048,106.5
980000,0.049,95.0
1000000,0.050,77.5
1020000,0.051,154.0
1040000,0.052,156.8
1060000,0.053,142.5
1080000,0.054,139.6
1100000,0.055,155.4
1120000,0.056,155.4
1140000,0.057,141.0
1160000,0.058,146.8
1180000,0.059,252.6
1200000,0.060,182.7
1220000,0.061,97.9
1240000,0.062,99.3
1260000,0.063,116.6
1280000,0.064,97.9
1300000,0.065,76.3
1320000,0.066,87.8
1340000,0.067,96.4
1360000,0.068,100.7
1380000,0.069,92.1
1400000,0.070,90.7
1420000,0.071,87.8
1440000,0.072,132.4
1460000,0.073,149.6
1480000,0.074,141.0
1500000,0.075,165.5
1520000,0.076,174.1
1540000,0.077,133.3
1560000,0.078,141.0
1580000,0.079,168.3
1600000,0.080,221.6
1620000,0.081,236.0
1640000,0.082,172.7
1660000,0.083,36.0
1680000,0.084,30.2
1700000,0.085,37.4
1720000,0.086,31.0
1740000,0.087,25.9
1760000,0.088,33.1
1780000,0.089,30.2
1800000,0.090,25.9
1820000,0.091,31.7
1840000,0.092,31.7
1860000,0.093,28.8
1880000,0.094,23.0
1900000,0.095,32.6
1920000,0.096,38.9
1940000,0.097,18.7
1960000,0.098,34.6
1980000,0.099,30.2
2000000,0.100,18.7
2020000,0.101,13.0
2040000,0.102,23.0
2060000,0.103,23.0
2080000,0.104,23.3
2100000,0.105,21.6
2120000,0.106,25.9
2140000,0.107,24.5
2160000,0.108,18.7
2180000,0.109,28.8
2200000,0.110,18.7
2220000,0.111,13.0
2240000,0.112,20.2
2260000,0.113,17.1
2280000,0.114,27.4
2300000,0.115,18.7
2320000,0.116,21.6
2340000,0.117,23.0
2360000,0.118,15.8
2380000,0.119,25.9
2400000,0.120,27.4
2420000,0.121,27.4
2440000,0.122,23.3
2460000,0.123,20.2
2480000,0.124,17.3
2500000,0.125,21.6
2520000,0.126,15.8
2540000,0.127,25.9
2560000,0.128,30.2
2580000,0.129,33.1
2600000,0.130,36.0
2620000,0.131,31.0
2640000,0.132,36.0
2660000,0.133,30.2
2680000,0.134,34.6
2700000,0.135,37.4
2720000,0.136,23.0
2740000,0.137,36.0
2760000,0.138,34.6
2780000,0.139,41.7
2800000,0.140,38.8
2820000,0.141,31.7
2840000,0.142,43.2
2860000,0.143,43.2
2880000,0.144,34.6
2900000,0.145,43.2
2920000,0.146,40.3
2940000,0.147,38.9
2960000,0.148,38.9
2980000,0.149,35.7
3000000,0.150,40.3
3020000,0.151,37.4
3040000,0.152,30.2
3060000,0.153,43.2
3080000,0.154,30.2
3100000,0.155,34.6
3120000,0.156,34.6
3140000,0.157,41.7
3160000,0.158,38.8
3180000,0.159,33.1
3200000,0.160,38.9
3220000,0.161,33.1
3240000,0.162,40.3
3260000,0.163,41.7
3280000,0.164,28.8
3300000,0.165,31.7
3320000,0.166,40.3
3340000,0.167,29.5
3360000,0.168,38.9
3380000,0.169,43.2
3400000,0.170,40.3
3420000,0.171,34.6
3440000,0.172,37.4
3460000,0.173,40.3
3480000,0.174,40.3
3500000,0.175,28.8
3520000,0.176,32.6
3540000,0.177,41.7
3560000,0.178,37.4
3580000,0.179,27.4
3600000,0.180,48.9
3620000,0.181,25.9
3640000,0.182,11.5
3660000,0.183,14.4
3680000,0.184,28.8
3700000,0.185,24.8
3720000,0.186,25.9
3740000,0.187,24.5
3760000,0.188,27.4
3780000,0.189,21.6
3800000,0.190,23.0
3820000,0.191,23.0
3840000,0.192,30.2
3860000,0.193,18.7
3880000,0.194,18.6
3900000,0.195,15.8
3920000,0.196,10.1
3940000,0.197,17.3
3960000,0.198,18.7
3980000,0.199,13.0
4000000,0.200,23.0
4020000,0.201,21.6
4040000,0.202,15.8
4060000,0.203,9.3
4080000,0.204,18.7
4100000,0.205,15.8
4120000,0.206,14.4
4140000,0.207,17.3
4160000,0.208,20.2
4180000,0.209,17.3
4200000,0.210,15.8
4220000,0.211,18.7
4240000,0.212,15.5
4260000,0.213,20.2
4280000,0.214,5.8
4300000,0.215,15.8
4320000,0.216,13.0
4340000,0.217,4.3
4360000,0.218,-4.3
4380000,0.219,1.5
